Date,Close
0,1.592667
1,1.588667
2,1.464000
3,1.280000
4,1.074000
5,1.053333
6,1.164000
7,1.160000
8,1.136667
9,1.209333
10,1.322667
11,1.326000
12,1.376000
13,1.460667
14,1.353333
15,1.348000
16,1.400000
17,1.419333
18,1.396667
19,1.370000
20,1.381333
21,1.356667
22,1.329333
23,1.394667
24,1.463333
25,1.417333
26,1.363333
27,1.306000
28,1.306667
29,1.268667
30,1.193333
31,1.173333
32,1.221333
33,1.252000
34,1.276667
35,1.251333
36,1.252667
37,1.273333
38,1.342000
39,1.280000
40,1.326667
41,1.316667
42,1.313333
43,1.324667
44,1.298667
45,1.363333
46,1.404000
47,1.403333
48,1.369333
49,1.393333
50,1.380667
51,1.344667
52,1.381333
53,1.408000
54,1.465333
55,1.396000
56,1.348667
57,1.404000
58,1.384667
59,1.324667
60,1.304000
61,1.340000
62,1.368667
63,1.426667
64,1.465333
65,1.360667
66,1.373333
67,1.399333
68,1.408000
69,1.364000
70,1.362000
71,1.362000
72,1.349333
73,1.349333
74,1.369333
75,1.383333
76,1.369333
77,1.348667
78,1.336667
79,1.376667
80,1.383333
81,1.381333
82,1.390000
83,1.424000
84,1.400000
85,1.412667
86,1.456000
87,1.427333
88,1.416667
89,1.451333
90,1.660000
91,1.629333
92,1.665333
93,1.642000
94,1.957333
95,1.869333
96,1.989333
97,2.053333
98,1.978000
99,1.966000
100,1.992667
101,2.066000
102,2.226667
103,2.304667
104,2.364667
105,2.354667
106,2.288667
107,2.355333
108,2.290000
109,2.156667
110,2.099333
111,2.020667
112,2.104000
113,2.158000
114,2.136667
115,2.101333
116,2.036667
117,1.902000
118,1.973333
119,2.054000
120,2.090667
121,2.113333
122,2.150667
123,2.175333
124,2.006000
125,1.703333
126,1.760667
127,1.848667
128,1.766667
129,1.775333
130,1.774667
131,1.778000
132,1.788667
133,1.858667
134,1.882667
135,1.896667
136,1.797333
137,1.797333
138,1.748000
139,1.716667
140,1.709333
141,1.602000
142,1.508000
143,1.536000
144,1.632667
145,1.645333
146,1.650000
147,1.661333
148,1.600667
149,1.606667
150,1.594000
151,1.596000
152,1.575333
153,1.564000
154,1.538000
155,1.632667
156,1.547333
157,1.548000
158,1.550000
159,1.538667
160,1.522667
161,1.648667
162,1.573333
163,1.545333
164,1.458000
165,1.455333
166,1.502000
167,1.574000
168,1.592667
169,1.596000
170,1.601333
171,1.624000
172,1.663333
173,1.662667
174,1.644000
175,1.648000
176,1.600667
177,1.604667
178,1.550000
179,1.530000
180,1.521333
181,1.520667
182,1.530667
183,1.515333
184,1.479333
185,1.480667
186,1.488667
187,1.516667
188,1.550000
189,1.594667
190,1.580667
191,1.850000
192,1.777333
193,1.722000
194,1.780000
195,1.766000
196,1.816000
197,1.766000
198,1.684667
199,1.643333
200,1.662000
201,1.676000
202,1.705333
203,1.668667
204,1.677333
205,1.716667
206,1.782667
207,1.759333
208,1.795333
209,1.805333
210,1.844000
211,1.840000
212,1.830000
213,1.791333
214,1.779333
215,1.762667
216,1.808000
217,1.860667
218,1.888667
219,1.804667
220,1.844667
221,1.836667
222,1.773333
223,1.730667
224,1.756667
225,1.880000
226,1.864667
227,1.788000
228,1.781333
229,1.932000
230,1.965333
231,1.970000
232,2.009333
233,1.901333
234,1.917333
235,2.008667
236,1.913333
237,1.891333
238,1.808000
239,1.841333
240,1.857333
241,1.895333
242,1.906667
243,1.821333
244,1.766667
245,1.766667
246,1.734000
247,1.835333
248,1.814000
249,1.847333
250,1.838000
251,1.830667
252,1.874000
253,1.886000
254,1.942000
255,1.934667
256,1.942667
257,1.930667
258,1.982000
259,1.920667
260,1.890000
261,1.878000
